ihc orders release of ptis asad umar after his arrest,,,,,,POSITIVE TEXT
 ihc orders release of ptis ejaz chaudhry,,,,,,POSITIVE TEXT
 gold prices increase by rs600 to rs 237800 per tola,,,,,,POSITIVE TEXT
ronaldo helps revive alnassr hopes in saudi title race,,,,,,POSITIVE TEXT
pakistan achieves recordbreaking agricultural production this year,,,,,,POSITIVE TEXT
 government initiative provides electricity to remote villages improving quality of life,,,,,,POSITIVE TEXT
 the united states has announced an additional usd 100 million to pakistan for its recovery and reconstruction efforts after the devastating floods last year,,,,,,POSITIVE TEXT
educational reforms lead to increased literacy rates across the country,,,,,,POSITIVE TEXT
army says suspects can be tried under army laws,,,,,,POSITIVE TEXT
tourism sector experiences significant growth boosting the economy,,,,,,POSITIVE TEXT
 pakistani athletes shine in international competitions bringing home multiple medals,,,,,,POSITIVE TEXT
 infrastructure projects create employment opportunities and enhance connectivity,,,,,,POSITIVE TEXT
 scientific research breakthrough in pakistani university receives global recognition,,,,,,POSITIVE TEXT
 government invests in renewable energy reducing reliance on fossil fuels,,,,,,POSITIVE TEXT
 charitable organizations collaborate to alleviate poverty and support marginalized communities,,,,,,POSITIVE TEXT
 pakistans economy records strong growth in the last quarter,,,,,,POSITIVE TEXT
 prime minister inaugurates new power plant to address energy crisis,,,,,,POSITIVE TEXT
pakistani scientist receives international recognition for groundbreaking research,,,,,,POSITIVE TEXT
 pakistan emerges as a leading destination for foreign investment,,,,,,POSITIVE TEXT
 government implements anticorruption measures enhancing transparency,,,,,,POSITIVE TEXT
 pakistani photographers exhibition sheds light on cultural diversity,,,,,,POSITIVE TEXT
 pakistan develops indigenous vaccine for a widespread disease,,,,,,POSITIVE TEXT
 international conference on counterterrorism held in islamabad,,,,,,POSITIVE TEXT
 pakistani youth orchestra performs at prominent international music festival,,,,,,POSITIVE TEXT
 government launches nationwide campaign to improve road safety,,,,,,POSITIVE TEXT
pakistani architects design chosen for iconic international building project,,,,,,POSITIVE TEXT
pakistan and india sign peace agreement easing tensions,,,,,,POSITIVE TEXT
pakistani ngo receives global recognition for humanitarian work,,,,,,POSITIVE TEXT
 pakistans national cricket team clinches victory in test series,,,,,,POSITIVE TEXT
government implements reforms to strengthen judicial system,,,,,,POSITIVE TEXT
 pakistani startup develops innovative mobile app for financial inclusion,,,,,,POSITIVE TEXT
 pakistans tourism sector flourishes attracting record number of visitors,,,,,,POSITIVE TEXT
usama mir shines at t20 vitality blast,,,,,,POSITIVE TEXT
pakistani cyclist wins gold medal at international cycling championship,,,,,,POSITIVE TEXT
 pakistan launches national program for clean and green energy,,,,,,POSITIVE TEXT
 government initiates largescale infrastructure development projects,,,,,,POSITIVE TEXT
 pakistani social entrepreneur receives global recognition for community development,,,,,,POSITIVE TEXT
pakistan launches satellite for communication and broadcasting services,,,,,,POSITIVE TEXT
 renowned pakistani chef wins international culinary competition,,,,,,POSITIVE TEXT
 pakistani weightlifter breaks national record in international tournament,,,,,,POSITIVE TEXT
 government launches digital literacy program to bridge the digital divide,,,,,,POSITIVE TEXT
 pakistans artisan crafts gain international recognition and demand,,,,,,POSITIVE TEXT
 pakistani female boxer wins gold medal in asian championship,,,,,,POSITIVE TEXT
 prime minister inaugurates mega project to enhance water resources,,,,,,POSITIVE TEXT
 pakistan and saudi arabia strengthen bilateral ties with trade agreements,,,,,,POSITIVE TEXT
 pakistani startup develops aibased solution for healthcare diagnosis,,,,,,POSITIVE TEXT
 pakistans education system ranks higher in global index,,,,,,POSITIVE TEXT
government launches initiative to promote sports and physical education in schools,,,,,,POSITIVE TEXT
renowned pakistani sculptors artwork displayed in international exhibition,,,,,,POSITIVE TEXT
pakistan launches campaign to promote cultural heritage and tourism,,,,,,POSITIVE TEXT
 pakistani youth achieves world record in chess championship,,,,,,POSITIVE TEXT
 government introduces reforms to enhance ease of doing business,,,,,,POSITIVE TEXT
 pakistans female pilot sets new aviation milestone,,,,,,POSITIVE TEXT
pakistani ngo implements social welfare programs in underprivileged areas,,,,,,POSITIVE TEXT
pakistan successfully conducts test of ballistic missile defense system,,,,,,POSITIVE TEXT
 renowned pakistani musician honored with lifetime achievement award,,,,,,POSITIVE TEXT
 pakistani cricketer becomes fastest player to reach 10000 runs in oneday internationals,,,,,,POSITIVE TEXT
 pakistans economy records strong growth in the last quarter,,,,,,POSITIVE TEXT
 pakistan launches national campaign for womens empowerment,,,,,,POSITIVE TEXT
 pakistani filmmakers documentary selected for international film festival,,,,,,POSITIVE TEXT
 pakistan and iran strengthen economic cooperation with trade agreement,,,,,,POSITIVE TEXT
 pakistan and afghanistan sign peace agreement promoting regional stability,,,,,,POSITIVE TEXT
 pakistani artists sculpture installed in prominent international art museum,,,,,,POSITIVE TEXT
 pakistani music band receives global acclaim for fusion music,,,,,,POSITIVE TEXT
 pakistan launches satellite to monitor climate change and environmental factors,,,,,,POSITIVE TEXT
 government implements measures to promote renewable energy sources,,,,,,POSITIVE TEXT
 renowned pakistani actress honored with international film award,,,,,,POSITIVE TEXT
 the toll tax will be reduced for cars having 800cc engine or less,,,,,,POSITIVE TEXT
government launches campaign for gender equality and womens rights,,,,,,POSITIVE TEXT
pakistan saw record floods this summer after heavy monsoon rains and melting glaciers submerged onethird of country,,,,,,POSITIVE TEXT
malaria and other diseases are on the rise among local people in pakistan after recent floods and monsoons,,,,,,POSITIVE TEXT
 terrorist attack claims multiple lives in pakistan,,,,,,POSITIVE TEXT
political corruption scandal shakes pakistani government,,,,,,POSITIVE TEXT
 severe flooding devastates several regions of pakistan,,,,,,POSITIVE TEXT
 economic crisis hits pakistan resulting in job losses and inflation,,,,,,NEGATIVE TEXT
environmental pollution reaches alarming levels in major pakistani cities,,,,,,NEGATIVE TEXT
 pakistan has sought support from washington to unlock a stalled international monetary fund programme that would release 11 billion,,,,,,NEGATIVE TEXT
healthcare system struggles to cope with rising covid19 cases in pakistan,,,,,,NEGATIVE TEXT
 education system faces challenges of inadequate funding and infrastructure,,,,,,NEGATIVE TEXT
 high inflation rates put strain on pakistani families budgets,,,,,,NEGATIVE TEXT
 widespread power outages cause disruptions and inconvenience for pakistanis,,,,,,NEGATIVE TEXT
 education sector grapples with quality and access issues in pakistan,,,,,,NEGATIVE TEXT
humanitarian crisis unfolds as displaced communities struggle in pakistan,,,,,,NEGATIVE TEXT
 extremist groups pose security threats and instability in pakistan,,,,,,NEGATIVE TEXT
 rampant corruption hinders progress and development in pakistan,,,,,,NEGATIVE TEXT
deteriorating law and order situation raises concerns for public safety in pakistan,,,,,,NEGATIVE TEXT
 education gender gap persists limiting opportunities for pakistani girls,,,,,,NEGATIVE TEXT
 economic disparity widens the gap between the wealthy and the poor in pakistan,,,,,,NEGATIVE TEXT
healthcare system struggles to provide adequate access to quality care in pakistan,,,,,,NEGATIVE TEXT
 water scarcity crisis impacts agriculture and livelihoods in pakistan,,,,,,NEGATIVE TEXT
 political nepotism hampers meritbased appointments and opportunities in pakistan,,,,,,NEGATIVE TEXT
natural disasters result in loss of lives and destruction in pakistan,,,,,,NEGATIVE TEXT
healthcare system struggles to provide access to quality healthcare in rural areas of pakistan,,,,,,NEGATIVE TEXT
 education system grapples with high dropout rates amongst girls in pakistan,,,,,,NEGATIVE TEXT
energy crisis impacts industries and hinders economic growth in pakistan,,,,,,NEGATIVE TEXT
 rising sectarian tensions undermine social cohesion in pakistan,,,,,,NEGATIVE TEXT
natural disasters result in loss of lives and destruction in pakistan,,,,,,NEGATIVE TEXT
economic mismanagement and corruption drain public funds in pakistan,,,,,,NEGATIVE TEXT
education system faces challenges of limited resources and infrastructure in pakistan,,,,,,NEGATIVE TEXT
political instability hampers policy implementation and development in pakistan,,,,,,NEGATIVE TEXT
environmental pollution endangers pakistans wildlife and ecosystems,,,,,,NEGATIVE TEXT
 healthcare system struggles to provide accessible and affordable healthcare in pakistan,,,,,,NEGATIVE TEXT
 education system grapples with limited opportunities for sports and extracurricular activities in pakistan,,,,,,NEGATIVE TEXT
economic slowdown impacts consumer confidence and spending in pakistan,,,,,,NEGATIVE TEXT
education system struggles with high illiteracy rates in pakistan,,,,,,NEGATIVE TEXT
 political divisions deepen ethnic and regional fault lines in pakistan,,,,,,NEGATIVE TEXT
 financial scams and ponzi schemes drain savings of innocent pakistanis,,,,,,NEGATIVE TEXT
education quality declines as standardized testing fails to capture true potential in pakistan,,,,,,NEGATIVE TEXT
 water pollution endangers public health in pakistan,,,,,,NEGATIVE TEXT
healthcare system struggles to address mental health issues in pakistan,,,,,,NEGATIVE TEXT
 education system grapples with limited access to technology and digital learning in pakistan,,,,,,NEGATIVE TEXT
 political instability hampers foreign investments and economic growth in pakistan,,,,,,NEGATIVE TEXT
 economic disparity widens income gap between urban and rural areas in pakistan,,,,,,NEGATIVE TEXT
 education system faces challenges of teacher absenteeism and low motivation in pakistan,,,,,,NEGATIVE TEXT
 growing drug trade and narcotics addiction threaten pakistani society,,,,,,NEGATIVE TEXT
 infrastructure failures cause transportation chaos and delays in pakistan,,,,,,NEGATIVE TEXT
economic slowdown puts pressure on small and mediumsized enterprises in pakistan,,,,,,NEGATIVE TEXT
 education system struggles with high studenttoteacher ratios in pakistan,,,,,,NEGATIVE TEXT
 rising crime rates undermine law and order in pakistan,,,,,,NEGATIVE TEXT
 water scarcity crisis impacts agriculture and livelihoods in pakistan,,,,,,NEGATIVE TEXT
cybersecurity breach exposes sensitive data of millions,,,,,,NEGATIVE TEXT
 natural disaster strikes turkey leaving behind destruction and humanitarian crisis,,,,,,NEGATIVE TEXT
 healthcare system struggles to provide access to quality healthcare in rural areas of pakistan,,,,,,NEGATIVE TEXT
 education system grapples with high dropout rates amongst girls in pakistan,,,,,,NEGATIVE TEXT
energy crisis impacts industries and hinders economic growth in pakistan,,,,,,NEGATIVE TEXT
 rising sectarian tensions undermine social cohesion in pakistan,,,,,,NEGATIVE TEXT
 economic mismanagement and corruption drain public funds in pakistan,,,,,,NEGATIVE TEXT
 education system faces challenges of limited resources and infrastructure in pakistan,,,,,,NEGATIVE TEXT
 political instability hampers policy implementation and development in pakistan,,,,,,NEGATIVE TEXT
environmental pollution endangers pakistans wildlife and ecosystems,,,,,,NEGATIVE TEXT
healthcare system struggles to provide accessible and affordable healthcare in pakistan,,,,,,NEGATIVE TEXT
 education system grapples with limited opportunities for sports and extracurricular activities in pakistan,,,,,,NEGATIVE TEXT
 economic slowdown impacts consumer confidence and spending,,,,,,NEGATIVE TEXT
 education system struggles with high illiteracy rates in pakistan,,,,,,NEGATIVE TEXT
 rising sectarian tensions result in violence and intolerance,,,,,,NEGATIVE TEXT
 political divisions deepen ethnic and regional fault lines in pakistan,,,,,,NEGATIVE TEXT
economic mismanagement triggers inflation and economic uncertainty,,,,,,NEGATIVE TEXT
financial scams and ponzi schemes drain savings of innocent pakistani,,,,,,NEGATIVE TEXT
,,,,,,NEGATIVE TEXT
the government announces a new policy to promote sustainable farming practices,,,,,,NEGATIVE TEXT
naseem shah join colombo strikes,,,,,,NEGATIVE TEXT
 the annual trade deficit remains relatively stable compared to the previous year,,,,,,NEGATIVE TEXT
a new transportation project is being considered to improve connectivity in urban areas,,,,,,NEGATIVE TEXT
 nation pay rich tribute to martyrs on youmetakreem shuadaepakistan,,,,,,
the central bank decides to maintain the current interest rates,,,,,,Neutral text
 hyundai and kia extend fifa partnerships until 2030,,,,,,Neutral text
the ministry of education introduces a revised curriculum for primary schools,,,,,,Neutral text
the weather forecast predicts scattered showers throughout the week,,,,,,Neutral text
 a cultural festival showcasing local traditions is set to begin in september,,,,,,Neutral text
 imran khan to hold meetings to decide future course of action,,,,,,Neutral text
 researchers conduct a study to investigate the impact of air pollution on respiratory health,,,,,,Neutral text
the national unemployment rate experiences a slight decrease in the latest report,,,,,,Neutral text
a new shopping mall is under construction in a bustling commercial area,,,,,,Neutral text
 local authorities implement stricter regulations to ensure food safety standards,,,,,,Neutral text
 the annual inflation rate remains steady at 3,,,,,,Neutral text
